Company,Reviewer Verification Status,Rating,Approximate Date of Review,Sentiment,NPS,Topic 1,Topic 2,Topic 3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
British Gas,Verified Reviewer,1,2017-12-01,Negative,5.0,0.4949680885619886,0.4761696667634992,0.0288622446745121,claim,read,meter,read,charge,hundred,pound,take,around,week,resolve,hour,hold,numerous,phone,call,around,incorrect,bill,money,back,leave,draw,unable,pay,bill,ask,cover,interest,cost,offer,nowhere,near,cost,error,incur,accept,say,want,still,complain,of'em,tell,would,retract,offer,compensation,complain,of'em,clear,bribery,of'em,compensate,need,money,feel,force,complain,of'em,bribe,complain,of'em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,bad,communication,department,ever,see,book,plumbing,job,take,time,work,day,come,send,central,heating,people,fix,leak,ceiling,never,experience,disorganization,lack,communication,within,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,bad,customer,service,come,across,simply,avoid,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,absolute,shamble,service,homemade,boiler,cover,leave,without,hot,water,heating,month,multiple,appointment,miss,excuse,try,contact,landline,even,though,know,would,work,mobile,number,one,bad,customer,service,experience,ever,could,recommend,strongly,enough,steer,clear,cowboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,pay,lot,money,annually,homemade,peace,mind,cover,anything,go,wrong,last,year,run,annual,boiler,service,book,cancel,engineer,day,reschedule,recently,book,plumber,come,tell,would,day,appointment,great,service,accept,iti,take,day,leave,work,day,phone,call,say,appointment,reschedule,high,volume,emergency,obviously,first,time,happen,furious,phone,make,complaint,could,anything,plumber,day,give,good,gesture,would,prefer,service,pay,fort,completely,unacceptable,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,5,2017-12-01,Positive,,0.0025275256794213903,0.8583258963085018,0.1391465780120768,need,replacement,boiler,fit,year,old,boiler,could,repair,advisor,martin,johnson,call,tuesday,november,martin,helpful,give,honest,advice,pushy,aware,would,cheap,experience,pay,agree,go,ahead,later,evening,call,tell,new,boiler,could,fit,next,darby,new,boiler,part,deliver,scaffolding,put,upthe,fitter,steve,child,turn,time,start,work,pleasant,work,hard,keep,mess,minimum,later,day,electrician,david,skinner,another,pleasant,chap,arrive,connect,electrical,side,thinkthe,scaffolding,remove,early,next,day,old,boiler,etc,collect,needless,say,happy,everything,day,age,unusual,service,like,many
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,annual,boiler,service,come,part,home,care,package,overdue,contact,five,time,nothing,sort,useless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,rate,star,site,enable,zero,star,project,usage,joke,base,reality,disabled,pensioner,limited,income,loyal,customer,year,without,single,miss,payment,yet,despite,nearly,credit,end,last,review,want,increase,around,refuse,may,increase,direct,debit,per,month,without,advise,send,overdrawn,first,time,ever,require,draw,cash,fix,term,bond,loss,bonus,manage,monthly,charge,reduce,dire,warning,would,around,debt,end,treat,end,current,term,nearly,credit,yet,insist,upon,monthly,payment,pound,ask,credit,back,call,help,line,nice,asian,chap,english,incomprehensible,keep,repeat,must,pay
British Gas,Not Verified,1,2017-12-01,Negative,,,,,would,give,could,stay,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,utterly,disgusting,customer,service,standard,claim,read,meter,read,actually,believe,read,error,take,money,bank,account,send,overdrawn,unable,pay,bill,give,correct,meter,reading,time,last,month,phone,time,promise,would,resolve,within,day,wait,tell,take,another,week,ask,cover,interest,hundred,pound,lend,free,month,end,tell,compensate,explain,spend,hour,try,resolve,unpaid,tell,compensate,antagonise,friendly,customer,friendly,tone,never,ever,ever,use,clown,tell,would,post,bad,review,online,bother,tell,want,contact,mirror,newspaper,run,article,common,error,make,official,complaint,ofgem,warn
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,poor,service,poor,communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
